Iteration	Posterior	Likelihood	Prior	TreeLength	OmegaCount	K	R	Pi[0]	Pi[1]	Pi[2]	Pi[3]	Pi[4]	Pi[5]	Pi[6]	Pi[7]	Pi[8]	Pi[9]	Pi[10]	Pi[11]	Pi[12]	Pi[13]	Pi[14]	Pi[15]	Pi[16]	Pi[17]	Pi[18]	Pi[19]	Pi[20]	Pi[21]	Pi[22]	Pi[23]	Pi[24]	Pi[25]	Pi[26]	Pi[27]	Pi[28]	Pi[29]	Pi[30]	Pi[31]	Pi[32]	Pi[33]	Pi[34]	Pi[35]	Pi[36]	Pi[37]	Pi[38]	Pi[39]	Pi[40]	Pi[41]	Pi[42]	Pi[43]	Pi[44]	Pi[45]	Pi[46]	Pi[47]	Pi[48]	Pi[49]	Pi[50]	Pi[51]	Pi[52]	Pi[53]	Pi[54]	Pi[55]	Pi[56]	Pi[57]	Pi[58]	Pi[59]	Pi[60]
11000	-6176.859247	-6877.290648	700.431401	32.406715	3.000000	1.627538	0.382398	0.011102	0.027827	0.035238	0.010173	0.013670	0.026037	0.002068	0.016764	0.004374	0.034988	0.007609	0.012183	0.002871	0.026695	0.022270	0.014601	0.006214	0.036197	0.022537	0.014489	0.013394	0.016059	0.007883	0.009454	0.002014	0.010212	0.003533	0.010240	0.003341	0.010678	0.044323	0.006025	0.015825	0.023735	0.016922	0.013339	0.013589	0.075979	0.015043	0.059173	0.009144	0.019450	0.008229	0.018222	0.003255	0.018616	0.033985	0.010919	0.010729	0.008078	0.014427	0.022854	0.003779	0.013967	0.017431	0.009301	0.012648	0.002398	0.023239	0.006828	0.013834
11100	-6166.567186	-6861.382312	694.815126	32.991896	3.000000	1.527252	0.288717	0.012681	0.025015	0.033482	0.010877	0.005907	0.035187	0.001728	0.009400	0.004183	0.033463	0.007985	0.011652	0.002671	0.024916	0.021299	0.014287	0.012788	0.029657	0.021704	0.014670	0.012810	0.017816	0.007539	0.011487	0.001507	0.006238	0.003379	0.009382	0.003007	0.013822	0.055616	0.005813	0.018178	0.021549	0.016184	0.017276	0.013608	0.076934	0.010199	0.056594	0.017437	0.023922	0.007870	0.017428	0.002935	0.014201	0.027558	0.010444	0.009612	0.007726	0.013798	0.021858	0.004533	0.017354	0.013626	0.018376	0.005758	0.002293	0.026413	0.007536	0.016827
11200	-6170.741720	-6862.365285	691.623565	33.540887	3.000000	1.374054	0.351591	0.013523	0.022268	0.042092	0.010026	0.006299	0.037456	0.004976	0.008772	0.005028	0.023786	0.011656	0.016429	0.002848	0.020737	0.019993	0.015236	0.010385	0.031627	0.012325	0.015644	0.013661	0.015477	0.005315	0.011114	0.003267	0.006961	0.003604	0.008644	0.003572	0.014740	0.051567	0.006199	0.021681	0.022980	0.020095	0.018423	0.014512	0.089109	0.009851	0.057312	0.012232	0.021267	0.004422	0.018585	0.003130	0.015144	0.029612	0.011137	0.010250	0.006188	0.010022	0.021638	0.003510	0.018506	0.013102	0.007859	0.012769	0.001827	0.029422	0.007176	0.013011
11300	-6165.907327	-6865.410337	699.503010	34.064856	3.000000	1.222220	0.282646	0.012539	0.022421	0.032057	0.010095	0.006342	0.040935	0.002355	0.008833	0.008889	0.031782	0.007228	0.017958	0.002868	0.023665	0.010034	0.015341	0.010456	0.032245	0.012410	0.014858	0.008741	0.015584	0.005351	0.015140	0.002564	0.009769	0.003629	0.006411	0.004438	0.014841	0.051922	0.008128	0.013629	0.029175	0.020233	0.018550	0.014612	0.089722	0.010876	0.053855	0.012097	0.026067	0.004452	0.014157	0.001427	0.015249	0.025712	0.008095	0.010321	0.010136	0.007379	0.021787	0.003892	0.010383	0.014027	0.017657	0.011903	0.001840	0.038632	0.011205	0.013101
11400	-6170.049928	-6866.442860	696.392932	32.648214	3.000000	1.510333	0.439942	0.014194	0.026770	0.031575	0.009353	0.013150	0.042336	0.003194	0.007937	0.008755	0.032674	0.007119	0.012927	0.001623	0.020873	0.009883	0.015110	0.011861	0.043893	0.012223	0.016258	0.004361	0.015349	0.005271	0.014913	0.001037	0.010879	0.003546	0.008457	0.004703	0.015137	0.050015	0.008006	0.013424	0.025917	0.019928	0.018271	0.009405	0.087821	0.010712	0.053044	0.011915	0.025675	0.004385	0.016643	0.001406	0.016124	0.025324	0.007973	0.013314	0.009984	0.007268	0.021459	0.003834	0.010196	0.013816	0.017391	0.011724	0.001812	0.033622	0.011036	0.013201
11500	-6173.208012	-6859.928578	686.720566	33.595865	3.000000	1.293626	0.343201	0.012121	0.028834	0.049996	0.008926	0.009990	0.052526	0.003048	0.013172	0.007265	0.022166	0.006795	0.011845	0.001549	0.024126	0.015394	0.014420	0.011795	0.035621	0.017079	0.015516	0.007773	0.015625	0.002614	0.014232	0.002039	0.008164	0.004537	0.007860	0.004488	0.014446	0.043207	0.006036	0.021076	0.017510	0.019019	0.017926	0.012856	0.087464	0.010224	0.060411	0.011371	0.022454	0.003595	0.017271	0.001342	0.011574	0.024412	0.007609	0.012707	0.007660	0.014155	0.018960	0.003659	0.015135	0.009631	0.018969	0.005205	0.001730	0.032541	0.007732	0.012598
11600	-6184.989717	-6858.112393	673.122676	31.805690	3.000000	1.481321	0.380833	0.012265	0.029177	0.033218	0.008396	0.005698	0.053151	0.003085	0.011111	0.007563	0.023220	0.006875	0.014079	0.001934	0.028239	0.015577	0.014592	0.011935	0.036044	0.019284	0.015007	0.007866	0.016487	0.002645	0.014401	0.002063	0.013746	0.004591	0.016218	0.004064	0.009407	0.042516	0.006108	0.021327	0.017718	0.018502	0.018139	0.013455	0.080347	0.010345	0.055725	0.012775	0.022721	0.005560	0.012561	0.001358	0.014479	0.026824	0.007148	0.007469	0.007751	0.014323	0.019185	0.004397	0.018642	0.014433	0.018086	0.010323	0.001750	0.032928	0.007824	0.013345
11700	-6194.073782	-6874.057933	679.984151	34.605075	3.000000	1.409469	0.273633	0.012024	0.027415	0.028092	0.008459	0.007823	0.047812	0.002899	0.014993	0.005010	0.024406	0.009413	0.008884	0.002278	0.017812	0.015154	0.014522	0.007179	0.034148	0.020818	0.015120	0.011003	0.014590	0.006401	0.016386	0.009312	0.012604	0.003231	0.016340	0.003792	0.011379	0.039705	0.007584	0.021487	0.022472	0.018641	0.013040	0.010936	0.082547	0.010052	0.063380	0.012871	0.025118	0.005602	0.015160	0.002440	0.014588	0.028787	0.013290	0.007525	0.005338	0.011425	0.034230	0.002664	0.018782	0.012179	0.013352	0.007207	0.001624	0.029665	0.007883	0.011127
11800	-6199.541926	-6854.545928	655.004001	31.929241	3.000000	1.530371	0.246709	0.014238	0.028061	0.041496	0.008518	0.008007	0.041353	0.003585	0.014156	0.008436	0.030663	0.009315	0.015580	0.003107	0.018232	0.015511	0.013413	0.006770	0.034601	0.015979	0.017448	0.006265	0.015920	0.006674	0.012667	0.011483	0.011702	0.002750	0.016654	0.002955	0.011648	0.040641	0.007712	0.018320	0.020467	0.022072	0.013348	0.011587	0.066443	0.013617	0.048753	0.013175	0.021355	0.005734	0.015517	0.002497	0.018407	0.029466	0.013604	0.014417	0.010512	0.007501	0.035174	0.002919	0.019225	0.012223	0.013667	0.009379	0.002029	0.023970	0.007691	0.011390
11900	-6187.497220	-6866.827217	679.329998	33.127340	3.000000	1.384553	0.304375	0.015481	0.022321	0.054952	0.008877	0.008134	0.043096	0.003736	0.010029	0.010447	0.031759	0.009708	0.009075	0.003238	0.025186	0.013022	0.013979	0.007055	0.036060	0.015768	0.017140	0.006529	0.016592	0.003964	0.009179	0.006340	0.007595	0.002708	0.015751	0.003079	0.012139	0.042354	0.008530	0.021053	0.021330	0.023003	0.019627	0.010751	0.069244	0.014191	0.052751	0.011218	0.022255	0.005976	0.016171	0.002441	0.019183	0.030708	0.014177	0.015025	0.010955	0.007817	0.022414	0.003042	0.017573	0.013993	0.012728	0.003535	0.000700	0.026202	0.007364	0.010750
12000	-6188.174723	-6857.437377	669.262654	32.915598	3.000000	1.321175	0.193282	0.012637	0.031053	0.060306	0.008015	0.006404	0.030030	0.001970	0.010189	0.005951	0.032266	0.009863	0.013508	0.003271	0.025949	0.013643	0.014202	0.013063	0.043622	0.017553	0.017413	0.005870	0.012688	0.004027	0.009326	0.003406	0.010074	0.003507	0.016002	0.003203	0.012332	0.043030	0.006480	0.021389	0.021670	0.023369	0.019137	0.010923	0.070348	0.014417	0.053592	0.015053	0.027773	0.006071	0.015630	0.001958	0.017700	0.027409	0.009587	0.011535	0.009050	0.006296	0.022771	0.003090	0.016715	0.014216	0.011208	0.004563	0.001492	0.023781	0.007482	0.010922
12100	-6165.144658	-6860.218681	695.074024	32.910052	3.000000	1.401513	0.335284	0.011591	0.029903	0.035485	0.007515	0.006016	0.042763	0.002028	0.013788	0.006124	0.025393	0.012472	0.010277	0.001549	0.023499	0.010267	0.018381	0.009942	0.046147	0.020706	0.019149	0.011621	0.013056	0.004144	0.011654	0.000714	0.010367	0.003609	0.015887	0.001853	0.012690	0.044279	0.005282	0.016643	0.029925	0.026235	0.018069	0.013446	0.072390	0.012651	0.055148	0.008415	0.022487	0.006247	0.014118	0.002015	0.015493	0.028335	0.008509	0.008536	0.006546	0.010491	0.034706	0.004092	0.013985	0.014329	0.017641	0.004696	0.001733	0.024472	0.007699	0.012800
12200	-6159.632399	-6854.782738	695.150339	35.781409	3.000000	1.409835	0.210020	0.015447	0.023320	0.053846	0.007218	0.005985	0.025058	0.001715	0.012593	0.009931	0.025257	0.008337	0.010225	0.001693	0.032615	0.019735	0.015673	0.007331	0.045914	0.018098	0.016284	0.006683	0.011097	0.005259	0.010165	0.004076	0.008679	0.002009	0.005638	0.002791	0.012626	0.050535	0.005255	0.015094	0.027252	0.024738	0.014512	0.014400	0.084526	0.009025	0.054870	0.012381	0.022374	0.006216	0.013878	0.002121	0.012894	0.028192	0.008466	0.014087	0.009724	0.010052	0.030709	0.004071	0.020611	0.011294	0.009791	0.010981	0.001724	0.024387	0.007660	0.012879
12300	-6162.394977	-6863.572993	701.178016	33.542058	3.000000	1.390879	0.217901	0.016405	0.025348	0.045510	0.007666	0.006068	0.034047	0.001821	0.013374	0.009279	0.023593	0.008855	0.010925	0.003966	0.027955	0.020960	0.016645	0.007786	0.048762	0.019221	0.017294	0.003990	0.011785	0.002913	0.011984	0.004328	0.009269	0.004655	0.011897	0.002450	0.010950	0.035968	0.006283	0.016030	0.022054	0.024061	0.020262	0.011314	0.074936	0.009585	0.049952	0.012015	0.028603	0.006601	0.012848	0.002253	0.017109	0.027136	0.008991	0.014423	0.010327	0.011833	0.025338	0.002031	0.019471	0.019273	0.010398	0.011662	0.001831	0.025900	0.008135	0.013678
12400	-6161.392275	-6856.338631	694.946357	35.787627	3.000000	1.350482	0.276469	0.015722	0.024294	0.043617	0.007347	0.005000	0.036094	0.002487	0.012818	0.010190	0.024399	0.008486	0.013581	0.001447	0.025320	0.019232	0.015953	0.008438	0.046734	0.018421	0.014806	0.009799	0.017295	0.002792	0.010256	0.004916	0.010613	0.004377	0.016139	0.002694	0.012283	0.034471	0.006022	0.016876	0.018636	0.027911	0.019419	0.010844	0.083831	0.010037	0.054964	0.013294	0.024938	0.006327	0.015816	0.001829	0.016398	0.028549	0.008617	0.014301	0.008976	0.010843	0.032512	0.001947	0.011357	0.018471	0.006451	0.007010	0.001755	0.022071	0.009155	0.010824
12500	-6181.337272	-6866.482483	685.145211	31.327649	3.000000	1.546525	0.428663	0.015377	0.022439	0.034718	0.007186	0.010190	0.028783	0.003891	0.009526	0.004597	0.021627	0.009335	0.013282	0.001415	0.021511	0.011544	0.015602	0.009355	0.045707	0.018016	0.014481	0.009583	0.014263	0.005416	0.009845	0.003282	0.010380	0.006665	0.020350	0.003997	0.013457	0.046542	0.005889	0.019375	0.028095	0.027254	0.018993	0.011684	0.081989	0.011715	0.053756	0.013001	0.024390	0.004857	0.015468	0.001789	0.016037	0.023945	0.011234	0.005264	0.008779	0.015269	0.034596	0.001904	0.020902	0.015379	0.010300	0.006856	0.002410	0.024876	0.008954	0.012678
12600	-6205.361381	-6849.444633	644.083252	33.317543	3.000000	1.426900	0.270034	0.014959	0.022622	0.036918	0.008356	0.010251	0.034285	0.003923	0.009604	0.006660	0.023316	0.009411	0.009651	0.001427	0.021686	0.011638	0.015729	0.009431	0.035345	0.018163	0.014599	0.010539	0.015131	0.006636	0.009925	0.004925	0.012598	0.004734	0.011249	0.004030	0.013567	0.046922	0.005937	0.018215	0.028324	0.027664	0.013540	0.011780	0.084378	0.010598	0.054194	0.013107	0.024589	0.006834	0.014736	0.002302	0.016168	0.032220	0.009408	0.005787	0.009699	0.007727	0.030550	0.001919	0.014632	0.015504	0.019004	0.006912	0.002430	0.031805	0.009027	0.012782
12700	-6204.114311	-6862.037635	657.923324	33.252124	3.000000	1.655085	0.341322	0.017030	0.023196	0.029509	0.008829	0.009074	0.033299	0.001991	0.013766	0.006429	0.028907	0.005319	0.011552	0.001205	0.020935	0.012348	0.017849	0.009019	0.035104	0.017534	0.011749	0.010173	0.017554	0.006406	0.010020	0.004755	0.012161	0.004570	0.010859	0.003890	0.015535	0.045296	0.005732	0.019910	0.027343	0.026522	0.010871	0.011371	0.089823	0.010231	0.052694	0.017684	0.026462	0.006598	0.013905	0.002111	0.018538	0.031103	0.011272	0.013758	0.006927	0.007553	0.018468	0.001853	0.014125	0.019188	0.021335	0.004067	0.002204	0.030131	0.006651	0.015707
12800	-6191.915650	-6862.314345	670.398695	31.042172	3.000000	1.358059	0.372572	0.016376	0.029289	0.058492	0.008695	0.005425	0.032611	0.001950	0.013482	0.006296	0.028310	0.006786	0.015742	0.000847	0.020425	0.014041	0.017480	0.009125	0.038736	0.013602	0.018305	0.013414	0.017191	0.004415	0.009813	0.004657	0.008860	0.004476	0.009947	0.003810	0.015214	0.046297	0.010742	0.014597	0.015846	0.024810	0.010646	0.011137	0.067812	0.010752	0.051606	0.017319	0.025916	0.006461	0.013202	0.002068	0.015484	0.025442	0.011001	0.010289	0.006784	0.007397	0.025243	0.001815	0.015042	0.018792	0.020895	0.009128	0.000883	0.029509	0.006627	0.018650
12900	-6171.874714	-6861.943662	690.068949	31.028921	3.000000	1.413993	0.301744	0.011831	0.028529	0.055932	0.011267	0.008294	0.033173	0.001593	0.013714	0.006405	0.028797	0.008377	0.016116	0.002086	0.024451	0.020821	0.016761	0.006915	0.034216	0.013752	0.018974	0.008402	0.014954	0.005485	0.009743	0.005043	0.009013	0.004485	0.010226	0.003666	0.015476	0.047094	0.008807	0.016570	0.016119	0.023528	0.017695	0.009412	0.068725	0.014847	0.055281	0.012800	0.022762	0.004676	0.014988	0.002621	0.016971	0.027322	0.009713	0.010466	0.007174	0.010240	0.026401	0.002956	0.014520	0.013391	0.006963	0.009658	0.000898	0.030016	0.011020	0.017868
13000	-6154.690749	-6850.926773	696.236024	33.150793	3.000000	1.578344	0.346753	0.017814	0.030604	0.051053	0.007443	0.007780	0.031118	0.004412	0.016064	0.006008	0.021574	0.010261	0.010288	0.001343	0.024337	0.025037	0.019334	0.006486	0.036955	0.023175	0.015364	0.006962	0.013162	0.005145	0.009139	0.004731	0.009164	0.004207	0.011562	0.005265	0.014518	0.048411	0.008261	0.014400	0.024370	0.022070	0.015522	0.008828	0.081630	0.012295	0.044761	0.007725	0.021351	0.005743	0.013500	0.002459	0.015919	0.025803	0.010725	0.009818	0.009890	0.009605	0.027539	0.003349	0.014216	0.021085	0.006531	0.009059	0.000842	0.030649	0.010337	0.013004
13100	-6195.917173	-6863.909219	667.992045	34.595263	3.000000	1.685159	0.263057	0.015459	0.030445	0.046179	0.010475	0.007723	0.027467	0.003821	0.015373	0.008919	0.022067	0.007752	0.009362	0.003305	0.022037	0.018830	0.014220	0.009424	0.037535	0.023005	0.015252	0.012468	0.012469	0.005107	0.009072	0.004696	0.011761	0.003718	0.008539	0.003054	0.014411	0.041210	0.008403	0.015962	0.026864	0.023308	0.020955	0.014757	0.083627	0.010626	0.047643	0.013619	0.029494	0.005701	0.013393	0.002094	0.012704	0.027785	0.010647	0.010655	0.006149	0.009535	0.025060	0.001920	0.013416	0.018108	0.012229	0.011019	0.000836	0.026592	0.010405	0.011339
13200	-6191.866964	-6858.947022	667.080058	32.531856	3.000000	1.484021	0.326711	0.013472	0.025885	0.047393	0.010976	0.013673	0.031986	0.003227	0.016645	0.006691	0.022647	0.004124	0.016903	0.003392	0.018613	0.012726	0.014594	0.008495	0.038522	0.014225	0.015653	0.012796	0.012587	0.003338	0.011148	0.004993	0.012070	0.003816	0.008764	0.003710	0.012257	0.054342	0.008624	0.016382	0.027571	0.020586	0.018088	0.012744	0.085826	0.009151	0.048895	0.013978	0.026726	0.005851	0.015453	0.002150	0.016163	0.028515	0.011848	0.010935	0.007399	0.011576	0.025719	0.002372	0.013769	0.011451	0.003967	0.006856	0.002091	0.027291	0.010679	0.017684
13300	-6178.588087	-6829.175103	650.587015	34.186430	3.000000	1.400299	0.335468	0.011612	0.031793	0.029913	0.011139	0.005356	0.033295	0.003259	0.012393	0.005952	0.031693	0.006561	0.013278	0.003442	0.024057	0.009320	0.016307	0.009096	0.039094	0.016999	0.015736	0.009931	0.016513	0.003388	0.009130	0.002847	0.012249	0.001647	0.008894	0.003765	0.012156	0.047491	0.008752	0.014880	0.027979	0.020891	0.021303	0.012933	0.080216	0.012351	0.049621	0.012696	0.030802	0.005938	0.020352	0.002181	0.017468	0.032735	0.012023	0.011920	0.007256	0.012563	0.026971	0.002407	0.015701	0.011035	0.006761	0.006662	0.000654	0.029657	0.009040	0.017946
13400	-6205.832186	-6845.588975	639.756789	34.095749	3.000000	1.361998	0.251405	0.015544	0.029249	0.045045	0.006447	0.009944	0.028040	0.000882	0.011883	0.005707	0.024154	0.008551	0.012732	0.002830	0.032143	0.013261	0.023042	0.008967	0.030677	0.013587	0.015089	0.009522	0.015834	0.002588	0.007715	0.004166	0.008876	0.001628	0.008483	0.005827	0.011656	0.045537	0.006399	0.021599	0.025949	0.022629	0.017913	0.010310	0.089273	0.013598	0.059190	0.011229	0.021195	0.005693	0.019515	0.003064	0.019014	0.027413	0.011736	0.011300	0.006957	0.013416	0.022759	0.005344	0.019235	0.009055	0.010413	0.009627	0.000323	0.025326	0.008113	0.012807
13500	-6178.829507	-6834.649305	655.819798	34.037292	3.000000	1.483919	0.245503	0.014867	0.025384	0.033163	0.008220	0.006673	0.026821	0.002183	0.010018	0.008205	0.033203	0.011802	0.024156	0.003885	0.034862	0.013144	0.022040	0.011173	0.039539	0.014937	0.014130	0.010484	0.012686	0.003269	0.009233	0.003985	0.012529	0.001340	0.008114	0.003878	0.011149	0.042204	0.006120	0.020659	0.024821	0.022970	0.017134	0.009862	0.093657	0.013006	0.056616	0.012245	0.022523	0.005120	0.012517	0.002855	0.018187	0.026221	0.010621	0.010809	0.006654	0.008575	0.027538	0.004131	0.013580	0.017303	0.006261	0.008194	0.000309	0.024225	0.007760	0.012250
13600	-6184.252501	-6829.431255	645.178755	36.882802	3.000000	1.319815	0.262539	0.010645	0.025114	0.041699	0.011218	0.005045	0.035786	0.002139	0.013928	0.008606	0.032539	0.007646	0.021404	0.002207	0.029780	0.012882	0.017169	0.010950	0.039239	0.018124	0.013848	0.003871	0.015898	0.006045	0.009049	0.001012	0.012278	0.001805	0.014394	0.003801	0.013704	0.041398	0.005998	0.017538	0.021530	0.019707	0.016792	0.018002	0.091889	0.010491	0.059658	0.012740	0.022483	0.005420	0.012267	0.002969	0.017342	0.027374	0.011984	0.010593	0.007451	0.009946	0.019683	0.004049	0.014019	0.015318	0.006610	0.007474	0.001209	0.025754	0.007188	0.013301
13700	-6202.987678	-6851.510651	648.522974	33.864191	3.000000	1.266817	0.245048	0.012163	0.027203	0.035359	0.007391	0.008266	0.040397	0.003355	0.017572	0.013041	0.028266	0.007571	0.015296	0.002391	0.029718	0.012461	0.016217	0.009276	0.042504	0.010136	0.015000	0.006300	0.018407	0.006548	0.011580	0.002301	0.011581	0.002275	0.007924	0.004117	0.012628	0.033849	0.005832	0.020573	0.024985	0.030400	0.018189	0.010668	0.072373	0.013390	0.057055	0.013800	0.024354	0.005871	0.020576	0.000983	0.018785	0.027329	0.007884	0.011474	0.009781	0.011372	0.021321	0.003017	0.018193	0.016593	0.006881	0.007538	0.000229	0.027897	0.007153	0.014408
13800	-6189.870880	-6838.310260	648.439379	32.218289	3.000000	1.513792	0.275224	0.014145	0.030244	0.035925	0.007509	0.008399	0.041488	0.004507	0.015964	0.006849	0.024713	0.007772	0.015541	0.003378	0.021767	0.016488	0.011559	0.009425	0.035030	0.022569	0.010032	0.006401	0.017945	0.006654	0.010895	0.002258	0.009890	0.002247	0.010771	0.003291	0.012830	0.050770	0.006995	0.021285	0.023926	0.026619	0.018480	0.010838	0.080496	0.012041	0.046238	0.015004	0.024744	0.006352	0.020905	0.003430	0.019086	0.027766	0.006888	0.008592	0.009937	0.006086	0.021662	0.003066	0.017645	0.019549	0.009469	0.006875	0.002109	0.028344	0.007850	0.010470
13900	-6170.429187	-6810.857294	640.428107	33.661221	3.000000	1.187741	0.299838	0.013913	0.028907	0.040306	0.011358	0.012185	0.042177	0.004434	0.015703	0.006237	0.026593	0.007644	0.015287	0.003323	0.021411	0.016218	0.016319	0.009270	0.045304	0.015390	0.018368	0.006296	0.013107	0.004444	0.010717	0.001025	0.011116	0.001431	0.013231	0.001978	0.012620	0.039792	0.006880	0.020936	0.023137	0.026183	0.013329	0.014267	0.074665	0.011844	0.053778	0.014758	0.024590	0.006248	0.019611	0.002300	0.018774	0.027312	0.006775	0.010212	0.008597	0.011788	0.021307	0.003016	0.017356	0.019229	0.009314	0.010473	0.001765	0.017740	0.007722	0.009986
14000	-6193.444022	-6856.905608	663.461587	32.091096	3.000000	1.487869	0.221227	0.014146	0.028287	0.044494	0.009418	0.006876	0.029381	0.004634	0.012008	0.006342	0.022803	0.010315	0.009572	0.003110	0.021769	0.016439	0.016591	0.009108	0.046061	0.018302	0.018675	0.008103	0.013326	0.005970	0.012545	0.004693	0.009370	0.001391	0.007328	0.002939	0.010147	0.043423	0.006995	0.020879	0.018767	0.027254	0.017860	0.013797	0.075913	0.008003	0.046868	0.016376	0.019905	0.006502	0.019939	0.001936	0.013897	0.026203	0.012841	0.010383	0.007672	0.013523	0.028020	0.004532	0.017647	0.018466	0.013687	0.010648	0.001795	0.031080	0.007796	0.013249
14100	-6211.493514	-6846.120283	634.626769	32.059077	3.000000	1.478046	0.298322	0.018798	0.023355	0.047517	0.010567	0.006983	0.037188	0.002698	0.010769	0.010085	0.023778	0.006352	0.013554	0.002858	0.024096	0.013544	0.016849	0.009250	0.035913	0.019566	0.016871	0.008229	0.013534	0.006063	0.010962	0.002020	0.013086	0.003240	0.007442	0.002985	0.010305	0.035011	0.008262	0.018210	0.019059	0.022845	0.018138	0.012278	0.081603	0.009109	0.052197	0.015108	0.018352	0.006603	0.020249	0.001966	0.022032	0.026610	0.011263	0.009117	0.006464	0.013733	0.026873	0.003069	0.017921	0.017372	0.005821	0.015731	0.001823	0.031564	0.006750	0.016409
14200	-6204.972393	-6843.771957	638.799564	36.049600	3.000000	1.353937	0.188509	0.014185	0.031129	0.037641	0.008730	0.010345	0.029345	0.002395	0.009793	0.009582	0.028231	0.012738	0.016521	0.002242	0.022895	0.012869	0.016010	0.009386	0.040572	0.018003	0.016031	0.010487	0.012859	0.005761	0.010416	0.001919	0.012434	0.003078	0.013237	0.002836	0.014468	0.040929	0.007850	0.023367	0.021640	0.024550	0.017593	0.011666	0.080895	0.016302	0.051790	0.014355	0.023036	0.006274	0.018368	0.001551	0.016424	0.030090	0.010701	0.008663	0.006141	0.009938	0.020136	0.002684	0.017028	0.016507	0.010854	0.010922	0.000091	0.023377	0.007208	0.012931
14300	-6193.901103	-6840.869902	646.968799	35.680403	3.000000	1.384294	0.258363	0.013815	0.030245	0.039477	0.011482	0.009866	0.043307	0.002327	0.014158	0.003768	0.033214	0.012376	0.016052	0.002179	0.022244	0.012403	0.015555	0.008847	0.035333	0.019386	0.012599	0.010189	0.012494	0.004172	0.009559	0.001865	0.012080	0.002852	0.007916	0.001116	0.014057	0.046164	0.007627	0.022704	0.021026	0.023852	0.015590	0.011351	0.080943	0.012755	0.056332	0.013948	0.024973	0.006147	0.009156	0.001507	0.015958	0.024905	0.010397	0.007084	0.004536	0.009656	0.019860	0.004900	0.016544	0.016038	0.018729	0.010612	0.000088	0.030351	0.007340	0.013993
14400	-6188.987013	-6846.290352	657.303339	33.188637	3.000000	1.368433	0.276147	0.011940	0.032745	0.038447	0.010554	0.007216	0.036922	0.002266	0.011640	0.009747	0.025415	0.010135	0.016051	0.002339	0.021664	0.012079	0.010806	0.008460	0.046167	0.016692	0.020347	0.007444	0.012574	0.004178	0.009310	0.002702	0.009556	0.002778	0.007709	0.002991	0.012751	0.039721	0.007428	0.023535	0.019430	0.026462	0.018117	0.011976	0.074432	0.011738	0.052736	0.014903	0.024321	0.005987	0.018084	0.001468	0.015569	0.031225	0.011522	0.008951	0.009114	0.012464	0.030409	0.003895	0.013966	0.016758	0.009419	0.007993	0.000764	0.033212	0.007149	0.013628
14500	-6208.784152	-6863.073009	654.288857	34.179370	3.000000	1.499640	0.264316	0.011747	0.025884	0.033978	0.009980	0.010706	0.035572	0.002486	0.010866	0.010691	0.035321	0.010926	0.011500	0.002566	0.025977	0.008152	0.008427	0.009280	0.035875	0.017336	0.022318	0.004796	0.015847	0.004583	0.010212	0.001223	0.009486	0.003047	0.006618	0.003281	0.013987	0.040486	0.008148	0.025726	0.024114	0.030206	0.019873	0.014836	0.075164	0.012875	0.057846	0.011493	0.022302	0.004078	0.019836	0.001610	0.017646	0.027357	0.007650	0.010482	0.006371	0.013672	0.033355	0.004272	0.018668	0.010717	0.010918	0.008707	0.000236	0.029930	0.007842	0.010913
14600	-6182.435468	-6855.909503	673.474035	31.235061	3.000000	1.319919	0.312551	0.010911	0.025408	0.031490	0.011438	0.009624	0.034918	0.002440	0.010288	0.007209	0.028484	0.008315	0.017801	0.002518	0.025499	0.010785	0.018491	0.009110	0.031413	0.017408	0.021908	0.005881	0.013546	0.009472	0.011474	0.002362	0.010669	0.003412	0.010621	0.003221	0.013730	0.039740	0.007998	0.021029	0.024753	0.026929	0.018240	0.013990	0.073781	0.012638	0.056782	0.011281	0.022761	0.006968	0.013319	0.001580	0.017131	0.026853	0.010066	0.016631	0.008130	0.012859	0.032741	0.004193	0.021234	0.010520	0.010865	0.008547	0.000232	0.026993	0.007697	0.013674
14700	-6170.963288	-6857.130510	686.167222	31.424172	3.000000	1.436112	0.352931	0.010176	0.028035	0.032630	0.013131	0.007696	0.028582	0.003316	0.010310	0.007140	0.029751	0.010929	0.012646	0.001883	0.025553	0.010808	0.018530	0.009129	0.041676	0.013325	0.012075	0.005894	0.010853	0.009492	0.010550	0.002367	0.009358	0.003145	0.010643	0.004170	0.012175	0.039825	0.008015	0.016939	0.028909	0.026969	0.022057	0.012343	0.074780	0.015314	0.056902	0.010101	0.022810	0.006983	0.014182	0.001584	0.019074	0.026019	0.010087	0.016666	0.009452	0.010146	0.031655	0.002983	0.025500	0.010542	0.010888	0.013778	0.001059	0.027050	0.007714	0.013703
14800	-6197.427272	-6848.261119	650.833847	34.041180	3.000000	1.585378	0.234893	0.010363	0.030124	0.029699	0.006632	0.008909	0.038588	0.002945	0.007403	0.005953	0.026194	0.006645	0.016318	0.001966	0.022697	0.015982	0.011366	0.008109	0.041465	0.018890	0.013141	0.005299	0.019938	0.004296	0.011246	0.003607	0.008312	0.004785	0.009943	0.003165	0.011399	0.054605	0.007907	0.020636	0.023374	0.024545	0.019592	0.017215	0.077815	0.014012	0.050543	0.009600	0.022405	0.006278	0.012597	0.002352	0.016695	0.023111	0.007740	0.014804	0.008396	0.011454	0.028117	0.002650	0.019657	0.016355	0.018373	0.011110	0.000940	0.029356	0.008760	0.013630
