Iteration	Posterior	Likelihood	Prior	TreeLength	OmegaCount	K	R	Pi[0]	Pi[1]	Pi[2]	Pi[3]	Pi[4]	Pi[5]	Pi[6]	Pi[7]	Pi[8]	Pi[9]	Pi[10]	Pi[11]	Pi[12]	Pi[13]	Pi[14]	Pi[15]	Pi[16]	Pi[17]	Pi[18]	Pi[19]	Pi[20]	Pi[21]	Pi[22]	Pi[23]	Pi[24]	Pi[25]	Pi[26]	Pi[27]	Pi[28]	Pi[29]	Pi[30]	Pi[31]	Pi[32]	Pi[33]	Pi[34]	Pi[35]	Pi[36]	Pi[37]	Pi[38]	Pi[39]	Pi[40]	Pi[41]	Pi[42]	Pi[43]	Pi[44]	Pi[45]	Pi[46]	Pi[47]	Pi[48]	Pi[49]	Pi[50]	Pi[51]	Pi[52]	Pi[53]	Pi[54]	Pi[55]	Pi[56]	Pi[57]	Pi[58]	Pi[59]	Pi[60]
1100	-6212.988356	-6851.156968	638.168613	31.151556	3.000000	1.271256	0.262884	0.015825	0.027048	0.038751	0.009231	0.014530	0.038770	0.003049	0.013363	0.006331	0.025097	0.007642	0.012152	0.000310	0.019781	0.014989	0.016966	0.011889	0.039003	0.019047	0.010369	0.008213	0.015059	0.004932	0.007294	0.001158	0.011696	0.001454	0.012081	0.003896	0.012776	0.047302	0.007574	0.020387	0.026837	0.025586	0.019811	0.009564	0.089725	0.011203	0.062696	0.010300	0.019976	0.006774	0.015302	0.002860	0.015190	0.029194	0.010815	0.012378	0.010288	0.007511	0.027370	0.002250	0.013986	0.010497	0.009265	0.004418	0.001392	0.023659	0.008104	0.015086
1200	-6213.312501	-6853.052347	639.739846	34.314754	3.000000	1.328400	0.234415	0.013508	0.026371	0.036421	0.008136	0.008081	0.032403	0.002959	0.015240	0.006145	0.024398	0.007418	0.011795	0.003295	0.023424	0.011220	0.017224	0.006499	0.050395	0.013742	0.018470	0.007972	0.014065	0.003189	0.011866	0.001124	0.011979	0.001980	0.005908	0.003782	0.012401	0.045914	0.006408	0.020561	0.026049	0.027355	0.025242	0.015316	0.087091	0.009771	0.060397	0.012025	0.016828	0.006034	0.011130	0.001881	0.013103	0.024691	0.010497	0.017121	0.011480	0.008718	0.021583	0.005738	0.016297	0.015898	0.006269	0.005909	0.001352	0.034632	0.008657	0.014644
1300	-6216.462443	-6844.138911	627.676468	33.590892	3.000000	1.073730	0.235101	0.014023	0.026616	0.039601	0.008446	0.008389	0.033639	0.002716	0.009699	0.005290	0.028455	0.012293	0.011308	0.003420	0.024318	0.011648	0.012754	0.008590	0.043349	0.021619	0.019174	0.011209	0.014601	0.003057	0.011795	0.001015	0.015968	0.002055	0.006288	0.003827	0.013069	0.048751	0.006652	0.021344	0.023368	0.028590	0.017957	0.015900	0.070512	0.012674	0.053013	0.012484	0.018598	0.006264	0.016738	0.002118	0.014631	0.025632	0.010897	0.016952	0.009836	0.009051	0.020598	0.006512	0.017008	0.009755	0.014186	0.006316	0.001403	0.029840	0.008987	0.015202
1400	-6215.923710	-6848.523552	632.599842	31.982315	3.000000	1.466788	0.254414	0.014455	0.023836	0.038802	0.007760	0.007935	0.031820	0.001586	0.013860	0.008274	0.028828	0.008348	0.010696	0.001769	0.024894	0.015123	0.012064	0.012263	0.040998	0.020450	0.015634	0.007654	0.012964	0.005444	0.006762	0.000960	0.015104	0.002143	0.008988	0.003620	0.012363	0.046246	0.006293	0.020190	0.022104	0.027044	0.013182	0.015040	0.084691	0.009903	0.050147	0.011809	0.022199	0.005926	0.013280	0.002106	0.013840	0.024246	0.010308	0.016035	0.010113	0.008185	0.026569	0.006160	0.016088	0.021629	0.020178	0.011419	0.001327	0.027389	0.008501	0.012454
1500	-6229.974210	-6870.325869	640.351659	32.761019	3.000000	1.540165	0.316301	0.013525	0.028435	0.036306	0.007261	0.010910	0.029773	0.001484	0.014357	0.007525	0.026973	0.005748	0.016658	0.001655	0.026645	0.018678	0.019402	0.011474	0.038360	0.018711	0.010324	0.009617	0.015185	0.005094	0.011901	0.000898	0.006541	0.002969	0.009893	0.002586	0.010083	0.050562	0.005888	0.018891	0.020682	0.026525	0.013046	0.014073	0.077976	0.014441	0.059219	0.011049	0.020771	0.004755	0.017928	0.001971	0.014022	0.029622	0.011447	0.015004	0.009462	0.009774	0.022608	0.005764	0.010561	0.021513	0.017058	0.010684	0.001911	0.024327	0.007954	0.011540
1600	-6197.263734	-6875.098792	677.835059	33.713387	3.000000	1.340550	0.257332	0.012936	0.032279	0.030927	0.006416	0.007354	0.031488	0.001420	0.012751	0.007197	0.025799	0.009923	0.012170	0.002158	0.025485	0.021634	0.018557	0.010974	0.043586	0.019370	0.020975	0.009502	0.008964	0.008788	0.009624	0.004812	0.006256	0.001953	0.014912	0.005263	0.014295	0.041178	0.005631	0.018240	0.020081	0.022536	0.018677	0.013460	0.098337	0.018201	0.056640	0.011381	0.019719	0.004548	0.014149	0.001885	0.014885	0.028331	0.010041	0.007140	0.005035	0.008613	0.021623	0.001861	0.010101	0.020391	0.011736	0.010219	0.000056	0.029195	0.007621	0.010721
1700	-6180.959376	-6862.507502	681.548126	34.174425	3.000000	1.459285	0.310245	0.010678	0.028573	0.036874	0.010742	0.006867	0.028770	0.004370	0.013724	0.005279	0.033224	0.009694	0.021282	0.002419	0.024897	0.021136	0.018129	0.010721	0.039440	0.022288	0.015564	0.007068	0.022697	0.005373	0.009331	0.004701	0.011789	0.004037	0.014569	0.005142	0.013965	0.040229	0.005502	0.017820	0.019618	0.019462	0.018246	0.013573	0.085404	0.017781	0.054094	0.010807	0.022474	0.005987	0.013823	0.001842	0.014541	0.026496	0.009810	0.010542	0.004919	0.006521	0.026551	0.001464	0.009868	0.013812	0.008143	0.006471	0.000672	0.028522	0.011188	0.010474
1800	-6172.126249	-6867.797420	695.671171	33.355735	3.000000	1.568306	0.276407	0.010154	0.027171	0.042838	0.008943	0.006531	0.033137	0.004155	0.009695	0.009950	0.021226	0.010520	0.015516	0.003577	0.026324	0.015531	0.017240	0.011585	0.037514	0.021216	0.013079	0.007632	0.013458	0.005109	0.010168	0.002005	0.009984	0.003088	0.013854	0.007219	0.012809	0.044457	0.006255	0.021848	0.024084	0.026463	0.017351	0.015304	0.086156	0.016909	0.049566	0.008784	0.022471	0.005693	0.016152	0.001419	0.015399	0.031484	0.009235	0.006387	0.004677	0.008763	0.025249	0.005074	0.016705	0.011584	0.015426	0.006726	0.001579	0.027123	0.009198	0.011249
1900	-6170.119647	-6862.428290	692.308643	32.925655	3.000000	1.651031	0.267645	0.010655	0.025467	0.037220	0.005933	0.005439	0.028127	0.004360	0.015530	0.010441	0.018133	0.013055	0.016280	0.002301	0.027622	0.016296	0.010971	0.012156	0.037079	0.022261	0.013724	0.008008	0.014121	0.002375	0.010669	0.002104	0.010476	0.002927	0.006809	0.004578	0.013440	0.053130	0.008035	0.026223	0.027391	0.026595	0.018027	0.012697	0.078039	0.007526	0.057717	0.010545	0.023578	0.005974	0.016492	0.002014	0.015005	0.033036	0.009690	0.006026	0.005359	0.006958	0.033610	0.005324	0.017529	0.012155	0.016187	0.009030	0.001656	0.024441	0.009651	0.011803
2000	-6178.300976	-6871.602060	693.301084	32.658314	3.000000	1.520072	0.293743	0.010419	0.025257	0.036111	0.007900	0.009974	0.032064	0.003184	0.015658	0.005633	0.027198	0.012947	0.012819	0.001692	0.027394	0.018829	0.013561	0.010467	0.035265	0.024018	0.015033	0.005780	0.017277	0.004815	0.010581	0.002226	0.012053	0.006549	0.007740	0.003133	0.017267	0.049254	0.006563	0.016142	0.027165	0.026376	0.017878	0.012592	0.077785	0.013730	0.051399	0.008056	0.024686	0.004439	0.013615	0.001852	0.012859	0.032763	0.009610	0.005976	0.005315	0.012964	0.030185	0.004961	0.021250	0.015439	0.015322	0.010167	0.000817	0.018873	0.007415	0.011706
2100	-6169.779697	-6861.818614	692.038917	31.161703	3.000000	1.645841	0.314381	0.011096	0.023396	0.037451	0.008413	0.006783	0.034148	0.003391	0.007811	0.009766	0.023022	0.013789	0.012850	0.003874	0.027983	0.015576	0.014759	0.011147	0.040730	0.018725	0.018155	0.011721	0.024750	0.004182	0.011376	0.002059	0.011869	0.006974	0.013114	0.003448	0.013748	0.049642	0.006759	0.017368	0.029326	0.019664	0.016106	0.011862	0.078252	0.013263	0.054740	0.008580	0.015401	0.005192	0.015076	0.004050	0.013694	0.034893	0.011848	0.006365	0.007636	0.011507	0.024917	0.002853	0.021840	0.019646	0.006498	0.007364	0.000870	0.020100	0.008015	0.010564
2200	-6173.755902	-6840.479034	666.723132	31.800072	3.000000	1.516786	0.270766	0.010908	0.027476	0.037562	0.008169	0.010151	0.035950	0.001470	0.014878	0.008357	0.025569	0.013555	0.012224	0.004094	0.022978	0.015952	0.014509	0.010958	0.040040	0.018408	0.017847	0.010144	0.019813	0.005873	0.016885	0.000936	0.012441	0.006082	0.015458	0.002343	0.013515	0.038631	0.006645	0.022108	0.023418	0.022229	0.018666	0.009997	0.071944	0.008721	0.049979	0.014326	0.021524	0.005104	0.012862	0.001599	0.014423	0.030398	0.009841	0.009500	0.010381	0.010270	0.032922	0.005647	0.012509	0.019314	0.006388	0.006134	0.000413	0.027901	0.007879	0.013782
2300	-6178.191453	-6850.032752	671.841299	34.400032	3.000000	1.592016	0.275825	0.010604	0.026711	0.036515	0.007942	0.008020	0.026684	0.002859	0.013348	0.008068	0.024857	0.013624	0.014573	0.003560	0.015993	0.019864	0.014105	0.009239	0.038924	0.014270	0.016357	0.011294	0.018998	0.005709	0.014053	0.002166	0.012169	0.003397	0.014749	0.003140	0.012766	0.044392	0.006459	0.014128	0.023626	0.028251	0.016561	0.009935	0.081990	0.012584	0.046149	0.013947	0.029146	0.004962	0.012504	0.001555	0.014950	0.029551	0.009566	0.006245	0.006950	0.016607	0.032004	0.003506	0.022669	0.013728	0.016069	0.008830	0.002500	0.027123	0.007660	0.011297
2400	-6206.528556	-6873.980137	667.451581	32.074665	3.000000	1.347678	0.305850	0.018348	0.027613	0.029929	0.010047	0.008826	0.036620	0.003735	0.008973	0.012116	0.029443	0.006430	0.011728	0.001282	0.019980	0.013719	0.018481	0.009551	0.039296	0.011586	0.016910	0.011675	0.015827	0.005902	0.013438	0.002810	0.013070	0.002706	0.008194	0.003246	0.013197	0.046037	0.006678	0.014168	0.019739	0.029205	0.013364	0.016461	0.083310	0.011474	0.047708	0.011031	0.021854	0.006611	0.012926	0.002953	0.016056	0.028657	0.008493	0.011231	0.006326	0.017378	0.031687	0.006176	0.023434	0.012868	0.015078	0.005261	0.000838	0.025125	0.009511	0.013687
2500	-6167.446100	-6861.432988	693.986889	30.118030	3.000000	1.443078	0.402536	0.010346	0.023411	0.028756	0.007749	0.007750	0.031730	0.003729	0.008960	0.010140	0.031973	0.011210	0.015512	0.001280	0.028650	0.013699	0.016066	0.009398	0.048715	0.013981	0.016886	0.006675	0.017017	0.007151	0.013419	0.002806	0.012368	0.004185	0.011386	0.002637	0.011821	0.045971	0.006668	0.017822	0.019711	0.019150	0.012833	0.016437	0.083287	0.011457	0.047639	0.010266	0.021822	0.006601	0.012830	0.002949	0.016033	0.031159	0.010835	0.012769	0.011012	0.017352	0.024346	0.006167	0.018791	0.017686	0.015704	0.011589	0.000837	0.021197	0.009497	0.010178
2600	-6182.646279	-6878.129392	695.483113	30.429288	3.000000	1.413203	0.359518	0.013581	0.023827	0.031186	0.007887	0.012319	0.032294	0.003795	0.011432	0.010320	0.027508	0.011409	0.014341	0.001303	0.021256	0.013942	0.016351	0.010223	0.049580	0.016709	0.018542	0.010539	0.022846	0.007278	0.011151	0.004786	0.012588	0.004472	0.011589	0.002092	0.009792	0.040600	0.008279	0.021611	0.020061	0.020555	0.013061	0.016730	0.067175	0.011661	0.052999	0.010449	0.026102	0.002724	0.017904	0.003002	0.020189	0.025437	0.011027	0.010638	0.006047	0.017661	0.027361	0.006276	0.019243	0.010583	0.015984	0.011795	0.000851	0.021573	0.005725	0.011761
2700	-6166.571029	-6863.074632	696.503603	33.594648	3.000000	1.344012	0.302586	0.013617	0.020979	0.036386	0.009200	0.006386	0.031248	0.001754	0.011462	0.009890	0.027580	0.010625	0.014378	0.001995	0.025132	0.015957	0.016149	0.009841	0.049711	0.010549	0.018464	0.010082	0.022906	0.006173	0.014337	0.003852	0.012621	0.001150	0.011619	0.003425	0.012412	0.043549	0.008301	0.016694	0.020114	0.020609	0.013095	0.016243	0.067352	0.013377	0.064877	0.011772	0.026171	0.007234	0.017135	0.001620	0.019839	0.025504	0.013278	0.011026	0.006063	0.014061	0.027433	0.001512	0.012469	0.019875	0.006502	0.008574	0.001666	0.025102	0.007281	0.011792
2800	-6169.475564	-6859.723626	690.248062	35.534297	3.000000	1.233421	0.223032	0.015231	0.019517	0.041147	0.005678	0.008064	0.038601	0.001652	0.013509	0.009313	0.023762	0.010005	0.009925	0.001717	0.029101	0.015027	0.017024	0.008545	0.040389	0.023240	0.017719	0.008893	0.013137	0.005813	0.007061	0.003030	0.006093	0.000982	0.010942	0.003155	0.010127	0.041009	0.007214	0.015720	0.025888	0.019407	0.014832	0.015691	0.091687	0.012596	0.047377	0.013753	0.019449	0.004825	0.016136	0.002636	0.018682	0.027922	0.007349	0.016394	0.006496	0.007825	0.030297	0.001424	0.021892	0.025496	0.006123	0.008703	0.001569	0.031311	0.008443	0.013455
2900	-6174.673894	-6868.940602	694.266708	34.607850	3.000000	1.367295	0.276150	0.015103	0.020888	0.040802	0.007225	0.007997	0.038277	0.001638	0.016250	0.009235	0.023562	0.011736	0.009927	0.001702	0.028856	0.014901	0.016218	0.010686	0.040050	0.023045	0.017570	0.009325	0.013027	0.002914	0.007355	0.001108	0.008637	0.002767	0.010850	0.003129	0.016546	0.040665	0.007154	0.020263	0.025671	0.019244	0.017474	0.015560	0.087416	0.012491	0.045594	0.013637	0.020890	0.005493	0.016890	0.002787	0.014045	0.027687	0.007288	0.016014	0.006441	0.012036	0.030042	0.002149	0.021708	0.025282	0.006161	0.004563	0.000862	0.025108	0.008372	0.009687
3000	-6161.249265	-6852.750391	691.501126	33.581293	3.000000	1.576182	0.269072	0.015006	0.024464	0.044527	0.008661	0.008344	0.036369	0.005257	0.011393	0.006637	0.027257	0.011660	0.009863	0.001221	0.028843	0.016023	0.016114	0.010657	0.039792	0.017865	0.020030	0.009265	0.014689	0.004504	0.009085	0.006166	0.008582	0.002750	0.009861	0.003108	0.013001	0.057097	0.005503	0.020133	0.025770	0.024358	0.018514	0.015459	0.066274	0.011438	0.054682	0.010195	0.020755	0.006385	0.015996	0.002769	0.015467	0.027365	0.007787	0.013103	0.005949	0.011958	0.019577	0.002243	0.020534	0.015782	0.015746	0.008497	0.000856	0.020873	0.008318	0.009624
3100	-6190.809594	-6888.302089	697.492495	31.513213	3.000000	1.487042	0.315998	0.014971	0.027682	0.051158	0.011315	0.006732	0.038820	0.005245	0.011367	0.006621	0.021474	0.008184	0.012412	0.001218	0.029916	0.015548	0.016076	0.012545	0.031826	0.018033	0.013783	0.010647	0.010499	0.003851	0.009241	0.006152	0.010375	0.002743	0.009838	0.003101	0.012971	0.047370	0.006243	0.020085	0.022656	0.025921	0.018522	0.010984	0.081708	0.010048	0.046454	0.010171	0.020706	0.005138	0.017300	0.002762	0.015430	0.027300	0.012696	0.006523	0.006183	0.010260	0.030959	0.002238	0.022583	0.021892	0.015709	0.008812	0.000854	0.019077	0.008298	0.010768
3200	-6163.989130	-6859.990990	696.001860	31.328434	3.000000	1.461632	0.390594	0.015298	0.028483	0.045496	0.011475	0.012427	0.039369	0.006199	0.011291	0.006715	0.025934	0.011153	0.012588	0.001235	0.018302	0.015768	0.017218	0.008294	0.032257	0.018686	0.011325	0.010798	0.012481	0.003906	0.009372	0.005414	0.011838	0.002782	0.010003	0.003145	0.013154	0.048039	0.006331	0.015216	0.024983	0.016131	0.021142	0.009881	0.082862	0.010190	0.047111	0.015210	0.020999	0.005210	0.019401	0.002801	0.015680	0.021159	0.012977	0.010371	0.008057	0.015875	0.030704	0.003646	0.022902	0.022202	0.010098	0.008628	0.001107	0.019347	0.008416	0.010920
